"project","path","type","name","status","for_packages","tag","extension","size","md5","sha1","sha256","sha512","mime_type","file_type","programming_language","is_binary","is_text","is_archive","is_media","is_legal","is_manifest","is_readme","is_top_level","is_key_file","detected_license_expression","detected_license_expression_spdx","license_detections","license_clues","percentage_of_license_text","compliance_alert","copyrights","holders","authors","package_data","emails","urls","extra_data","xlsx_errors"
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TemperatureCalculator.d","file","TemperatureCalculator.d","requires-review",,"to",".d","143","cb22b2cd50bf192d0e4a6380ec85a43a","2979f0045d9b05e6f407a27031a344a68451e0b8","ba39835b7f3c468a28c01fee3c2fd9577fb0491a5e7e284da25e08cf6c38a20d",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TemperatureFilter.d","file","TemperatureFilter.d","requires-review",,"to",".d","127","4e27fd4d831704dc9154ebd3c4992c6d","ffa862d6be7da36748ff8e1cac39e0a21b2073fb","e5dade82e6c8f3a032c5dd515c8b371366446150d8c4c15187da7cff0e107729",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestAdcConductor.d","file","TestAdcConductor.d","requires-review",,"to",".d","404","153b6e5fce3b228584dff90e80970354","5a69c2fe834059bf66ba02ab061f27d2122dc680","f13b979998135e6eb05fab6f719583c0fe3892e775bca7f0199671294b916212",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestAdcConductor_runner.d","file","TestAdcConductor_runner.d","requires-review",,"to",".d","527","a58900857963c9ea151ee74451bd097c","9e22b2f0906a231dd3ec77d46e7c3c47ed24741b","91a518f7f6491e17b78e0cc84e1e5aebfbee55fadc871a10ca8fa9c25e8a9396",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestAdcHardware.d","file","TestAdcHardware.d","requires-review",,"to",".d","449","701212f934182edb007e48bf7dc3fb0d","7fb9832108fa9b0accbc98d8b89049a09b93211c","3daf63665224eb4699da1f9d80f68e96e8ec7f9de3e9dd64c8e022ee51715378",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestAdcHardware_runner.d","file","TestAdcHardware_runner.d","requires-review",,"to",".d","572","bf7419ebaf0ef44201c8b453b2b7b800","41f7e395d1e83412da810169e28216b449757c58","5ad7b15122d7e1db7f072bbcb6382ebba44f1566e9e2678ac8ba437ff2cb3ecf",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestAdcModel.d","file","TestAdcModel.d","requires-review",,"to",".d","503","3c11c969daf8acb1e52df0cc29a815cf","9d795c45ca3fbf3c6bd4a7c2016d3de708b96afe","e3a58cff4019405cfb0a320080238370dbdd09a32b4a5bd4bfcefa5be57d200f",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestAdcModel_runner.d","file","TestAdcModel_runner.d","requires-review",,"to",".d","626","3f0ad0e3b5a1942f44b106e33975693b","66b2feff03e37a381a0c296450a19ad8b2123943","3c8dbe2b9e22bb7dcd2925be01d77349e9f8b29b22dce24fc5d710e40ccc56ab",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestExecutor.d","file","TestExecutor.d","requires-review",,"to",".d","633","1fcca9fa9c1dd94573a942250be2b642","368cf800ee671c4c4562396aa1248cf2211e3759","4ecc0744196ce761e359473c80ccf0e3da3725e8509a7aebb0587e89ecf60e01",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestExecutor_runner.d","file","TestExecutor_runner.d","requires-review",,"to",".d","760","2c8c1358cf03319803e306b3d7b24192","ca72e66640709c31f0a110c3ba8cfa7e13b09a96","1bf81cf64a5a9ad70ee159f9bfe34a72c3667098a9aea0a783482815e31faf18",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestMain.d","file","TestMain.d","requires-review",,"to",".d","278","7471e36514beb2657e89f37fdb4c50e4","edac83e8a8af3f770fea38a7ca73da4701caa0c5","4b46cf49bd7460c43f431a35164b3bb6b05225a99286ab510f827d175866ab00",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestMain_runner.d","file","TestMain_runner.d","requires-review",,"to",".d","405","fa1fa53cb34276a21dd784b94eab326c","248364bb9714a29d6a2b5fc5d91ea2d61998bf9b","00929578c2b03f135f8f22d88429304f00d1475db6d06299bdce32445d5aec51",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestModel.d","file","TestModel.d","requires-review",,"to",".d","380","d8f90af058e0738d2b1c450a022e7a64","576b9405c17fe058db86fbfce9743dcfe4a15584","298990993195201c216a10f9bf7bac895a4eee8e72bd47b6c6f0a024ae668d81",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestModel_runner.d","file","TestModel_runner.d","requires-review",,"to",".d","507","255b2d2357d45163fdca7cb54a12d7ef","af563f5a9555ffcdc21c342b383b06cf1a703a0e","d6e50f05c0afa0b6ff4b898214ccf8012d09f4f9e019a6e97ec800090f2cdd46",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestTaskScheduler.d","file","TestTaskScheduler.d","requires-review",,"to",".d","222","b725eda261d747d473b1fcf2192ebab2","d35788f8241e90299748144733ebc55a7bf56052","87e6ddc6aa3443484b05efb7a0a9e77301ce04fb59655546b92313860e12fdd0",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TestTaskScheduler_runner.d","file","TestTaskScheduler_runner.d","requires-review",,"to",".d","259","1e0f849e56ca3ce5123e26c6476b6085","97e058b91e8e28d9af5dbe9319a3738df611fbe2","08cbbdd853c533880144bf5b9aaa65300e436e703bda3cb560d47f05cee31c00",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
