project_name,input_urls
discordrb-v3.5.0,"https://github.com/shardlab/discordrb/archive/refs/tags/v3.5.0.zip#from,https://github.com/shardlab/discordrb/releases/download/v3.5.0/discordrb-3.5.0.gem#to"
dashing-v1.3.1,"https://github.com/Shopify/dashing/archive/refs/tags/v1.3.1.zip#from,https://github.com/Shopify/dashing/releases/download/v1.3.1/dashing-1.3.1.gem#to"
semian-v0.21.1,"https://github.com/Shopify/semian/archive/refs/tags/v0.21.1.zip#from,https://github.com/Shopify/semian/releases/download/v0.21.1/semian-0.21.1.gem#to"
sidekiq-cron-v1.3.0,"https://github.com/sidekiq-cron/sidekiq-cron/archive/refs/tags/v1.3.0.zip#from,https://github.com/sidekiq-cron/sidekiq-cron/releases/download/v1.3.0/sidekiq-cron-1.3.0.gem#to"
mailcatcher-v0.10.0,"https://github.com/sj26/mailcatcher/archive/refs/tags/v0.10.0.zip#from,https://github.com/sj26/mailcatcher/releases/download/v0.10.0/mailcatcher-0.10.0.gem#to"
multipart-post-v2.4.1,"https://github.com/socketry/multipart-post/archive/refs/tags/v2.4.1.zip#from,https://rubygems.org/downloads/multipart-post-2.4.1.gem#to"
sorbet-0.5.11702.20241217131246-3116f7c1c,"https://github.com/sorbet/sorbet/archive/refs/tags/0.5.11702.20241217131246-3116f7c1c.zip#from,https://github.com/sorbet/sorbet/releases/download/0.5.11702.20241217131246-3116f7c1c/sorbet-0.5.11702.gem#to"
nokogiri-v1.17.2,"https://github.com/sparklemotion/nokogiri/archive/refs/tags/v1.17.2.zip#from,https://rubygems.org/downloads/nokogiri-1.17.2.gem#to"
addressable-addressable-2.8.7,"https://github.com/sporkmonger/addressable/archive/refs/tags/addressable-2.8.7.zip#from,https://rubygems.org/downloads/addressable-2.8.7.gem#to"
clearance-v2.3.0,"https://github.com/thoughtbot/clearance/archive/refs/tags/v2.3.0.zip#from,https://github.com/thoughtbot/clearance/releases/download/v2.3.0/clearance-2.3.0.gem#to"
factory_bot-v6.4.6,"https://github.com/thoughtbot/factory_bot/archive/refs/tags/v6.4.6.zip#from,https://github.com/thoughtbot/factory_bot/releases/download/v6.4.6/factory_bot-6.4.6.gem#to"
Ceedling-1.0.0-13d0e3d,"https://github.com/ThrowTheSwitch/Ceedling/archive/refs/tags/1.0.0-13d0e3d.zip#from,https://github.com/ThrowTheSwitch/Ceedling/releases/download/1.0.0-13d0e3d/ceedling-1.0.0-13d0e3d.gem#to"
daemons-v1.4.1,"https://github.com/thuehlinger/daemons/archive/refs/tags/v1.4.1.zip#from,https://github.com/thuehlinger/daemons/releases/download/v1.4.1/daemons-1.4.1.gem#to"
tzinfo-v2.0.6,"https://github.com/tzinfo/tzinfo/archive/refs/tags/v2.0.6.zip#from,https://rubygems.org/downloads/tzinfo-2.0.6.gem#to"
rbvmomi-v1.8.2,"https://github.com/vmware-archive/rbvmomi/archive/refs/tags/v1.8.2.zip#from,https://github.com/vmware-archive/rbvmomi/releases/download/v1.8.2/rbvmomi-1.8.2.gem#to"
publicsuffix-ruby-v6.0.1,"https://github.com/weppos/publicsuffix-ruby/archive/refs/tags/v6.0.1.zip#from,https://rubygems.org/downloads/public_suffix-6.0.1.gem#to"
yabeda-v0.13.1,"https://github.com/yabeda-rb/yabeda/archive/refs/tags/v0.13.1.zip#from,https://github.com/yabeda-rb/yabeda/releases/download/v0.13.1/yabeda-0.13.1.gem#to"
circuitbox-v2.0.0,"https://github.com/yammer/circuitbox/archive/refs/tags/v2.0.0.zip#from,https://github.com/yammer/circuitbox/releases/download/v2.0.0/circuitbox-2.0.0.gem#to"
ruby-lint-2.0.3,"https://github.com/yorickpeterse/ruby-lint/archive/refs/tags/2.0.3.zip#from,https://github.com/yorickpeterse/ruby-lint/releases/download/2.0.3/ruby-lint-2.0.3.gem#to"
